,Medal,Event_Count,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Male_Percentage,is_Host?
BRA,33.0,161.7455237276308,0.0,20.94302884073566,0.0,-0.004586440604008646,0.0,12.51629294233075,5.1069447886495105,0.0,5.940742041458883,42.889966031945356,0
BRN,9.0,15.119748802069068,0.0,0.0,0.0,-4.824558165895686e-06,0.0,6.803529288419899,0.0,0.0,0.0,66.3330566223411,0
BRU,0.0,2.5986456329788896,0.0,0.0,0.0,-4.824558165895721e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
BUL,14.0,52.73532392441838,0.0,0.21289245538184226,0.0,0.0026267980973395527,8.659473890451679,11.18740555336399,0.0,0.0,-0.25329167656947504,44.029487524185576,0
BUR,0.0,7.4281824523022415,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.15038411952530945,0.0,0.0,0.0,60.265307404101506,0
CAF,0.0,4.073112944894349,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
CAM,0.0,5.164401646886044,0.0,0.0,0.0,-4.824558165895686e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
CAN,51.0,200.2249356401252,0.0,0.32263801155173866,2.962391038234031,0.06686583758632955,1.2688766130921743,24.538277258125415,-2349.0000000000546,0.0,3.159330409948096,42.42580292642238,0
CAY,0.0,6.601519431784206,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
CGO,0.0,4.238594563679081,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
CHA,0.0,2.868483362004387,0.0,0.0,0.0,-4.824558165895688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
CHI,5.0,37.53500631208267,0.0,0.0,0.0,-4.824558165895702e-06,0.0,0.6250025767651382,0.0,0.0,0.8920041051856605,45.359013396557295,0
CHN,184.0,233.94100859923688,0.0,17.428297029127936,2.2485754175022405,29.88635352956525,45.46541427555831,81.91124842942604,23.426514448880255,0.0,9.132289015429757,38.08803831286677,0
CIV,1.0,11.065276201796038,0.0,0.0,0.0,0.06321040710911047,0.0,0.13330980006077253,0.0,0.0,0.0,39.60997102407961,0
CMR,0.0,7.150180466258978,0.0,0.0,0.0,-4.824558165895705e-06,0.0,0.5624997499007868,0.0,0.0,0.2964393872475571,40.79665229932487,0
COD,0.0,4.372837654869496,0.0,0.0,0.0,-4.824558165895695e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
COK,0.0,2.407248492664508,0.0,0.0,0.0,-4.824558165895698e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
COL,6.999999999999999,68.34493405446788,0.0,4.000000618398319,0.0,0.0542422788077119,0.0,5.964718809008847,0.0,0.0,3.560862761637055,46.10306294282745,0
COM,0.0,2.9688473194720086,0.0,0.0,0.0,-4.824558165895734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0
